gene,sgRNA,B1,B2,B3,A1,A2,A3
ADH7,TRCN0000026463,15475,10134,13846,14901,19541,23805
LUZP4,TRCN0000115742,15145,9386,15772,14672,22268,27490
RPL9,TRCN0000117562,20840,11772,18222,25290,26880,45162
PLA2G2E,TRCN0000051555,3123,2523,5217,990,1703,1900
RXFP2,TRCN0000009001,36148,23840,35056,42707,51801,68757
OR12D2,TRCN0000009303,14828,7012,14352,19382,32593,41179
POLA1,TRCN0000052955,64394,38751,56497,89667,117342,168734
DEFB129,TRCN0000135976,6197,4601,5951,5330,8608,7292
PIWIL3,TRCN0000151634,5663,3496,4147,5925,6122,7841
TAAR8,TRCN0000011509,11990,5436,9324,16907,20141,27166
TAAR1,TRCN0000014004,39336,22431,37739,57789,62289,100834
TAAR1,TRCN0000014005,2237,1543,1855,2629,3738,4906
TAS2R13,TRCN0000014036,6472,4547,6412,7101,10566,11889
TAS2R9,TRCN0000014167,120,132,1,283,299,321
OLIG2,TRCN0000018162,2122,2004,3747,194,420,591
POU4F2,TRCN0000019571,15459,10797,17163,27428,35668,34579
RPTN,TRCN0000053865,5974,4001,5479,6481,9813,9640
OC90,TRCN0000054164,7006,4856,8074,19261,17576,26764
CABP5,TRCN0000056335,26278,17284,26910,50738,77e3,97118
HTR3D,TRCN0000060916,14514,10280,18575,8374,15444,16190
OR9Q2,TRCN0000063067,7850,5100,9556,8393,13265,19794
COPA,TRCN0000065270,9412,6307,11773,9311,20150,19566
MRGPRD,TRCN0000077973,9953,5443,10472,9500,13407,14971
MAGEB3,TRCN0000115827,15442,9820,14418,16655,27362,32748
MAGEB3,TRCN0000115829,9206,6273,9109,15087,20469,24727
KRT77,TRCN0000116782,23398,11586,17552,34909,46263,68527
KRT9,TRCN0000117135,7407,4824,9449,6489,11486,12024
RPL27,TRCN0000117775,14998,9174,11449,10070,16452,24318
OTUD6A,TRCN0000134304,6558,3486,7630,2571,6688,4610
DEFB129,TRCN0000135207,31153,17778,27191,39692,55063,76455
PSMD6,TRCN0000142913,8423,4925,9829,13214,21727,23051
NLRP5,TRCN0000151618,9262,5624,9079,8818,14623,13136
LYZL6,TRCN0000151829,11598,7366,10214,15987,19752,36201
NLRP5,TRCN0000155025,9840,5280,7670,17640,27800,34258
