dataset,method,gene,fdr,essential
CRISPR.RT112,PBNPA,TAS2R13,0.9999999983423613,0
CRISPR.RT112,PBNPA,TAS2R9,0.9999999983423613,0
CRISPR.RT112,PBNPA,TGM6,0.9999999983423613,0
CRISPR.RT112,PBNPA,TPH2,0.9999999983423613,0
CRISPR.RT112,PBNPA,TRIM42,0.9999999983423613,0
CRISPR.RT112,PBNPA,VN1R2,0.9999999983423613,0
CRISPR.RT112,PinAPL-py,COPA,0,1
CRISPR.RT112,PinAPL-py,COPB1,0,1
CRISPR.RT112,PinAPL-py,COPS4,0,1
CRISPR.RT112,PinAPL-py,NUP93,0,1
CRISPR.RT112,PinAPL-py,NUP98,0,1
CRISPR.RT112,PinAPL-py,POLR2A,0,1
CRISPR.RT112,PinAPL-py,POLR2D,0,1
CRISPR.RT112,PinAPL-py,PSMB2,0,1
CRISPR.RT112,PinAPL-py,PSMC2,0,1
CRISPR.RT112,PinAPL-py,PSMD11,0,1
CRISPR.RT112,PinAPL-py,PSMD6,0,1
CRISPR.RT112,PinAPL-py,PSMD7,0,1
CRISPR.RT112,PinAPL-py,RPL11,0,1
CRISPR.RT112,PinAPL-py,RPS13,0,1
CRISPR.RT112,PinAPL-py,RPS19,0,1
CRISPR.RT112,PinAPL-py,RPS8,0,1
CRISPR.RT112,PinAPL-py,RPS9,0,1
CRISPR.RT112,PinAPL-py,RPL3,6.66133814775e-16,1
CRISPR.RT112,PinAPL-py,RPL36,1.11022302463e-15,1
CRISPR.RT112,PinAPL-py,COPS6,0.0129544981391,1
CRISPR.RT112,PinAPL-py,COPZ1,0.0205137750969,1
CRISPR.RT112,PinAPL-py,PSMC4,0.0324010513199,1
CRISPR.RT112,PinAPL-py,POLR2F,0.0368927153629,1
CRISPR.RT112,PinAPL-py,NUP133,0.0489524045149,1
CRISPR.RT112,PinAPL-py,NUP205,0.0489524045149,1
CRISPR.RT112,PinAPL-py,NUP54,0.0489524045149,1
CRISPR.RT112,PinAPL-py,PSMC1,0.0489524045149,1
CRISPR.RT112,PinAPL-py,PSMD1,0.0489524045149,1
CRISPR.RT112,PinAPL-py,POLA1,0.0547761240404,1
CRISPR.RT112,PinAPL-py,RPL35A,0.108697811042,1
CRISPR.RT112,PinAPL-py,RPL9,0.126513128321,1
CRISPR.RT112,PinAPL-py,PSMA3,0.137253025694,1
CRISPR.RT112,PinAPL-py,COPS8,0.198439328097,1
CRISPR.RT112,PinAPL-py,RPL34,0.296187691734,1
CRISPR.RT112,PinAPL-py,RPS3A,0.357909556592,1
CRISPR.RT112,PinAPL-py,RPL18A,0.522724137299,1
CRISPR.RT112,PinAPL-py,RPS11,0.527725961738,1
CRISPR.RT112,PinAPL-py,PSMB3,0.529358252373,1
CRISPR.RT112,PinAPL-py,RPL5,0.536529929062,1
CRISPR.RT112,PinAPL-py,RPL30,0.614344575489,1
CRISPR.RT112,PinAPL-py,COPS2,0.763340487158,1
CRISPR.RT112,PinAPL-py,RPS24,0.986562399582,1
CRISPR.RT112,PinAPL-py,RPL27,0.997450081482,1
CRISPR.RT112,PinAPL-py,ABCG8,1,0
CRISPR.RT112,PinAPL-py,ADH7,1,0
CRISPR.RT112,PinAPL-py,CABP5,1,0
CRISPR.RT112,PinAPL-py,CRYGB,1,0
CRISPR.RT112,PinAPL-py,CYP7A1,1,0
CRISPR.RT112,PinAPL-py,DEFB129,1,0
CRISPR.RT112,PinAPL-py,DMRTB1,1,0
CRISPR.RT112,PinAPL-py,DMRTC2,1,0
CRISPR.RT112,PinAPL-py,FAM71B,1,0
CRISPR.RT112,PinAPL-py,FCRL4,1,0
CRISPR.RT112,PinAPL-py,HTR3D,1,0
CRISPR.RT112,PinAPL-py,IL1F10,1,0
CRISPR.RT112,PinAPL-py,IL22,1,0
CRISPR.RT112,PinAPL-py,KRT25,1,0
CRISPR.RT112,PinAPL-py,KRT74,1,0
CRISPR.RT112,PinAPL-py,KRT77,1,0
CRISPR.RT112,PinAPL-py,KRT9,1,0
CRISPR.RT112,PinAPL-py,LHX5,1,0
CRISPR.RT112,PinAPL-py,LUZP4,1,0
CRISPR.RT112,PinAPL-py,LYZL6,1,0
CRISPR.RT112,PinAPL-py,MAGEB3,1,0
CRISPR.RT112,PinAPL-py,MRGPRD,1,0
CRISPR.RT112,PinAPL-py,NLRP5,1,0
CRISPR.RT112,PinAPL-py,NPHS2,1,0
CRISPR.RT112,PinAPL-py,NPSR1,1,0
CRISPR.RT112,PinAPL-py,OC90,1,0
CRISPR.RT112,PinAPL-py,OLIG2,1,0
CRISPR.RT112,PinAPL-py,OR12D2,1,0
CRISPR.RT112,PinAPL-py,OR52E8,1,0
CRISPR.RT112,PinAPL-py,OR9Q2,1,0
CRISPR.RT112,PinAPL-py,OTUD6A,1,0
CRISPR.RT112,PinAPL-py,PIWIL3,1,0
CRISPR.RT112,PinAPL-py,PLA2G2E,1,0
CRISPR.RT112,PinAPL-py,POU4F2,1,0
CRISPR.RT112,PinAPL-py,RNASE9,1,0
CRISPR.RT112,PinAPL-py,RPL6,1,1
CRISPR.RT112,PinAPL-py,RPS27,1,1
CRISPR.RT112,PinAPL-py,RPS7,1,1
CRISPR.RT112,PinAPL-py,RPTN,1,0
CRISPR.RT112,PinAPL-py,RXFP2,1,0
CRISPR.RT112,PinAPL-py,SAGE1,1,0
CRISPR.RT112,PinAPL-py,SPATA16,1,0
CRISPR.RT112,PinAPL-py,TAAR1,1,0
CRISPR.RT112,PinAPL-py,TAAR8,1,0
CRISPR.RT112,PinAPL-py,TAS2R13,1,0
CRISPR.RT112,PinAPL-py,TAS2R9,1,0
CRISPR.RT112,PinAPL-py,TGM6,1,0
CRISPR.RT112,PinAPL-py,TPH2,1,0
CRISPR.RT112,PinAPL-py,TRIM42,1,0
CRISPR.RT112,PinAPL-py,VN1R2,1,0
CRISPR.RT112,ScreenBEAM,RPS13,1.1177826942913869e-7,1
CRISPR.RT112,ScreenBEAM,RPL11,9.078102170584606e-6,1
CRISPR.RT112,ScreenBEAM,RPS19,2.5896120070472917e-6,1
CRISPR.RT112,ScreenBEAM,RPL35A,0.010082084482299459,1
CRISPR.RT112,ScreenBEAM,PSMB2,1.4653524607561237e-8,1
CRISPR.RT112,ScreenBEAM,POLR2D,1.3457303288982494e-5,1
CRISPR.RT112,ScreenBEAM,RPS8,5.0057073006324e-4,1
CRISPR.RT112,ScreenBEAM,NUP93,1.3797117162607693e-4,1
CRISPR.RT112,ScreenBEAM,POLR2A,0.0011094578923915314,1
CRISPR.RT112,ScreenBEAM,RPL18A,3.8729010105923654e-5,1
CRISPR.RT112,ScreenBEAM,RPL34,0.0033919546694266434,1
CRISPR.RT112,ScreenBEAM,RPL36,0.0017188991637868258,1
CRISPR.RT112,ScreenBEAM,PSMD11,3.688307656118672e-7,1
CRISPR.RT112,ScreenBEAM,COPB1,4.1608462897059144e-6,1
CRISPR.RT112,ScreenBEAM,PSMD7,8.517124433334469e-6,1
CRISPR.RT112,ScreenBEAM,COPA,2.210322049018724e-4,1
CRISPR.RT112,ScreenBEAM,COPS4,1.338654707197072e-5,1
CRISPR.RT112,ScreenBEAM,RPS3A,4.2291453037613335e-4,1
CRISPR.RT112,ScreenBEAM,RPS9,0.007559209200342252,1
CRISPR.RT112,ScreenBEAM,PSMC4,6.335775986929205e-5,1
CRISPR.RT112,ScreenBEAM,PSMD6,2.3883854662561422e-11,1
CRISPR.RT112,ScreenBEAM,RPL9,0.012501359540918045,1
CRISPR.RT112,ScreenBEAM,RPL6,0.016356565608481387,1
CRISPR.RT112,ScreenBEAM,PSMC1,9.642798987814859e-4,1
CRISPR.RT112,ScreenBEAM,POLR2F,6.775900699212219e-4,1
CRISPR.RT112,ScreenBEAM,PSMC2,2.078827314827021e-4,1
CRISPR.RT112,ScreenBEAM,POLA1,0.0058421300997070595,1
CRISPR.RT112,ScreenBEAM,RPS11,0.027728001241586503,1
CRISPR.RT112,ScreenBEAM,NUP205,0.0021399554492601194,1
CRISPR.RT112,ScreenBEAM,COPS6,8.896510628891764e-4,1
CRISPR.RT112,ScreenBEAM,NUP133,0.012501359540918045,1
CRISPR.RT112,ScreenBEAM,RPL5,0.020197212566087565,1
CRISPR.RT112,ScreenBEAM,NUP54,0.006300549166077598,1
CRISPR.RT112,ScreenBEAM,RPL3,0.005278686449464305,1
CRISPR.RT112,ScreenBEAM,PSMA3,0.02740999258824677,1
CRISPR.RT112,ScreenBEAM,PSMB3,0.07957670887034313,1
CRISPR.RT112,ScreenBEAM,COPZ1,0.010905018087684182,1
CRISPR.RT112,ScreenBEAM,NUP98,3.7078242301721235e-5,1
CRISPR.RT112,ScreenBEAM,COPS2,0.030785349998484597,1
CRISPR.RT112,ScreenBEAM,RPL30,0.0808817129167027,1
CRISPR.RT112,ScreenBEAM,RPS27,0.0379040815714427,1
CRISPR.RT112,ScreenBEAM,PSMD1,0.01626230059271943,1
CRISPR.RT112,ScreenBEAM,RPL27,0.2284338519264092,1
CRISPR.RT112,ScreenBEAM,COPS8,0.1372807124807039,1
CRISPR.RT112,ScreenBEAM,RPS24,0.4135615173850576,1
CRISPR.RT112,ScreenBEAM,RPS7,0.7453058609811176,1
CRISPR.RT112,ScreenBEAM,IL1F10,1,0
CRISPR.RT112,ScreenBEAM,LYZL6,1,0
CRISPR.RT112,ScreenBEAM,MRGPRD,1,0
CRISPR.RT112,ScreenBEAM,DMRTC2,1,0
CRISPR.RT112,ScreenBEAM,DMRTB1,1,0
CRISPR.RT112,ScreenBEAM,KRT25,1,0
CRISPR.RT112,ScreenBEAM,HTR3D,1,0
CRISPR.RT112,ScreenBEAM,PIWIL3,1,0
CRISPR.RT112,ScreenBEAM,OC90,1,0
CRISPR.RT112,ScreenBEAM,OR9Q2,1,0
CRISPR.RT112,ScreenBEAM,TPH2,1,0
CRISPR.RT112,ScreenBEAM,KRT74,1,0
CRISPR.RT112,ScreenBEAM,RNASE9,1,0
CRISPR.RT112,ScreenBEAM,RPTN,1,0
CRISPR.RT112,ScreenBEAM,FCRL4,1,0
CRISPR.RT112,ScreenBEAM,KRT9,1,0
CRISPR.RT112,ScreenBEAM,CRYGB,1,0
CRISPR.RT112,ScreenBEAM,OTUD6A,1,0
CRISPR.RT112,ScreenBEAM,CYP7A1,1,0
CRISPR.RT112,ScreenBEAM,IL22,1,0
CRISPR.RT112,ScreenBEAM,LUZP4,1,0
CRISPR.RT112,ScreenBEAM,SPATA16,1,0
CRISPR.RT112,ScreenBEAM,NPHS2,1,0
CRISPR.RT112,ScreenBEAM,ABCG8,1,0
CRISPR.RT112,ScreenBEAM,RXFP2,1,0
CRISPR.RT112,ScreenBEAM,NPSR1,1,0
CRISPR.RT112,ScreenBEAM,CABP5,1,0
CRISPR.RT112,ScreenBEAM,OLIG2,1,0
CRISPR.RT112,ScreenBEAM,OR12D2,1,0
CRISPR.RT112,ScreenBEAM,TAS2R13,1,0
CRISPR.RT112,ScreenBEAM,LHX5,1,0
CRISPR.RT112,ScreenBEAM,KRT77,1,0
CRISPR.RT112,ScreenBEAM,TRIM42,1,0
CRISPR.RT112,ScreenBEAM,PLA2G2E,1,0
CRISPR.RT112,ScreenBEAM,ADH7,1,0
CRISPR.RT112,ScreenBEAM,TAAR8,1,0
CRISPR.RT112,ScreenBEAM,SAGE1,1,0
CRISPR.RT112,ScreenBEAM,VN1R2,1,0
CRISPR.RT112,ScreenBEAM,TGM6,1,0
CRISPR.RT112,ScreenBEAM,TAS2R9,1,0
CRISPR.RT112,ScreenBEAM,MAGEB3,1,0
CRISPR.RT112,ScreenBEAM,DEFB129,1,0
CRISPR.RT112,ScreenBEAM,FAM71B,1,0
CRISPR.RT112,ScreenBEAM,TAAR1,1,0
CRISPR.RT112,ScreenBEAM,POU4F2,1,0
CRISPR.RT112,ScreenBEAM,NLRP5,1,0
CRISPR.RT112,ScreenBEAM,OR52E8,1,0
CRISPR.UMUC3,CC2,RPS19,9.317281034243887e-25,1
CRISPR.UMUC3,CC2,NUP93,5.506170413325207e-26,1
CRISPR.UMUC3,CC2,PSMD11,9.401233240748069e-22,1
CRISPR.UMUC3,CC2,RPS3A,4.5693844369890906e-8,1
CRISPR.UMUC3,CC2,PSMB3,2.1420729408864858e-7,1
CRISPR.UMUC3,CC2,POLR2A,4.3576113073253547e-13,1
CRISPR.UMUC3,CC2,RPS8,3.784544025700584e-19,1
CRISPR.UMUC3,CC2,RPL36,1.6724896872020546e-17,1
CRISPR.UMUC3,CC2,RPS13,2.7939221482806865e-21,1
CRISPR.UMUC3,CC2,RPS11,9.073234375397981e-9,1
CRISPR.UMUC3,CC2,PSMC1,8.689213685178353e-17,1
CRISPR.UMUC3,CC2,RPS9,1.4203735815230107e-14,1
CRISPR.UMUC3,CC2,COPB1,4.500966235625186e-27,1
CRISPR.UMUC3,CC2,RPL5,3.8995792954235824e-10,1
CRISPR.UMUC3,CC2,RPL11,3.459780521388612e-22,1
CRISPR.UMUC3,CC2,PSMB2,2.2132831469949547e-50,1
CRISPR.UMUC3,CC2,COPZ1,1.9128712013246755e-14,1
CRISPR.UMUC3,CC2,PSMD6,2.88957974612701e-28,1
CRISPR.UMUC3,CC2,COPA,2.442807967332282e-24,1
CRISPR.UMUC3,CC2,RPL18A,9.317281034243887e-25,1
CRISPR.UMUC3,CC2,POLR2F,1.87705530801411e-15,1
CRISPR.UMUC3,CC2,POLR2D,2.320215579512659e-24,1
CRISPR.UMUC3,CC2,PSMA3,2.6616862608655198e-12,1
CRISPR.UMUC3,CC2,RPL34,1.4203735815230107e-14,1
CRISPR.UMUC3,CC2,RPS24,0.024174167862937742,1
CRISPR.UMUC3,CC2,PSMC4,3.261649950263191e-18,1
CRISPR.UMUC3,CC2,RPL27,1.2884465623097925e-6,1
CRISPR.UMUC3,CC2,RPL9,1.660227106145339e-20,1
CRISPR.UMUC3,CC2,PSMC2,1.5921618303802532e-20,1
CRISPR.UMUC3,CC2,NUP54,7.445882163778395e-14,1
CRISPR.UMUC3,CC2,COPS4,8.399053206307953e-21,1
CRISPR.UMUC3,CC2,NUP133,2.2599833098492942e-14,1
CRISPR.UMUC3,CC2,RPL35A,4.3643698844642807e-14,1
CRISPR.UMUC3,CC2,RPL3,1.1960166976257796e-9,1
CRISPR.UMUC3,CC2,RPL30,6.354473563001094e-11,1
CRISPR.UMUC3,CC2,POLA1,3.077326039060265e-9,1
CRISPR.UMUC3,CC2,NUP98,4.3679141802368745e-12,1
CRISPR.UMUC3,CC2,COPS2,2.0263347685256548e-16,1
CRISPR.UMUC3,CC2,RPL6,0.002937680059779037,1
CRISPR.UMUC3,CC2,PSMD7,7.22632460537613e-21,1
CRISPR.UMUC3,CC2,COPS8,5.454064432496575e-9,1
CRISPR.UMUC3,CC2,COPS6,6.859947477432879e-14,1
CRISPR.UMUC3,CC2,NUP205,3.624059837020687e-13,1
CRISPR.UMUC3,CC2,PSMD1,4.3576113073253547e-13,1
CRISPR.UMUC3,CC2,RPS7,0.005936337516473707,1
CRISPR.UMUC3,CC2,RPS27,3.176432949752456e-5,1
CRISPR.UMUC3,CC2,LYZL6,0.7528513335533882,0
CRISPR.UMUC3,CC2,CRYGB,1,0
CRISPR.UMUC3,CC2,MRGPRD,1,0
CRISPR.UMUC3,CC2,IL1F10,1,0
CRISPR.UMUC3,CC2,OTUD6A,1,0
CRISPR.UMUC3,CC2,KRT25,1,0
CRISPR.UMUC3,CC2,PIWIL3,1,0
CRISPR.UMUC3,CC2,TPH2,1,0
CRISPR.UMUC3,CC2,RNASE9,1,0
CRISPR.UMUC3,CC2,NPSR1,1,0
CRISPR.UMUC3,CC2,DMRTB1,1,0
CRISPR.UMUC3,CC2,RPTN,1,0
CRISPR.UMUC3,CC2,HTR3D,1,0
CRISPR.UMUC3,CC2,DMRTC2,1,0
CRISPR.UMUC3,CC2,OLIG2,1,0
CRISPR.UMUC3,CC2,IL22,1,0
CRISPR.UMUC3,CC2,OR9Q2,1,0
CRISPR.UMUC3,CC2,RXFP2,1,0
CRISPR.UMUC3,CC2,LUZP4,1,0
CRISPR.UMUC3,CC2,KRT74,1,0
CRISPR.UMUC3,CC2,OC90,1,0
CRISPR.UMUC3,CC2,NPHS2,1,0
CRISPR.UMUC3,CC2,FCRL4,1,0
CRISPR.UMUC3,CC2,LHX5,1,0
CRISPR.UMUC3,CC2,FAM71B,1,0
CRISPR.UMUC3,CC2,CYP7A1,1,0
CRISPR.UMUC3,CC2,SAGE1,1,0
CRISPR.UMUC3,CC2,SPATA16,1,0
CRISPR.UMUC3,CC2,TAAR8,1,0
CRISPR.UMUC3,CC2,CABP5,1,0
CRISPR.UMUC3,CC2,ADH7,1,0
CRISPR.UMUC3,CC2,TGM6,1,0
CRISPR.UMUC3,CC2,TRIM42,1,0
CRISPR.UMUC3,CC2,KRT9,1,0
CRISPR.UMUC3,CC2,TAS2R13,1,0
CRISPR.UMUC3,CC2,NLRP5,1,0
CRISPR.UMUC3,CC2,MAGEB3,1,0
CRISPR.UMUC3,CC2,VN1R2,1,0
CRISPR.UMUC3,CC2,ABCG8,1,0
CRISPR.UMUC3,CC2,OR12D2,1,0
CRISPR.UMUC3,CC2,POU4F2,1,0
CRISPR.UMUC3,CC2,DEFB129,1,0
CRISPR.UMUC3,CC2,KRT77,1,0
CRISPR.UMUC3,CC2,PLA2G2E,1,0
CRISPR.UMUC3,CC2,TAAR1,1,0
CRISPR.UMUC3,CC2,TAS2R9,1,0
CRISPR.UMUC3,CC2,OR52E8,1,0
CRISPR.UMUC3,CRISPhieRmix,RPS19,0,1
CRISPR.UMUC3,CRISPhieRmix,NUP93,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMD11,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS3A,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMB3,0,1
CRISPR.UMUC3,CRISPhieRmix,POLR2A,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS8,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL36,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS13,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS11,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMC1,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS9,0,1
CRISPR.UMUC3,CRISPhieRmix,COPB1,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL5,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL11,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMB2,0,1
CRISPR.UMUC3,CRISPhieRmix,COPZ1,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMD6,0,1
CRISPR.UMUC3,CRISPhieRmix,COPA,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL18A,0,1
CRISPR.UMUC3,CRISPhieRmix,POLR2F,0,1
CRISPR.UMUC3,CRISPhieRmix,POLR2D,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMA3,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL34,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS24,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMC4,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL27,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL9,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMC2,0,1
CRISPR.UMUC3,CRISPhieRmix,NUP54,0,1
CRISPR.UMUC3,CRISPhieRmix,COPS4,0,1
CRISPR.UMUC3,CRISPhieRmix,NUP133,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL35A,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL3,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL30,0,1
CRISPR.UMUC3,CRISPhieRmix,POLA1,0,1
CRISPR.UMUC3,CRISPhieRmix,NUP98,0,1
CRISPR.UMUC3,CRISPhieRmix,COPS2,0,1
CRISPR.UMUC3,CRISPhieRmix,RPL6,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMD7,0,1
CRISPR.UMUC3,CRISPhieRmix,COPS8,0,1
CRISPR.UMUC3,CRISPhieRmix,COPS6,0,1
CRISPR.UMUC3,CRISPhieRmix,NUP205,0,1
CRISPR.UMUC3,CRISPhieRmix,PSMD1,0,1
CRISPR.UMUC3,CRISPhieRmix,RPS7,8.826729613664597e-7,1
CRISPR.UMUC3,CRISPhieRmix,RPS27,1.7462274876089978e-6,1
CRISPR.UMUC3,CRISPhieRmix,LYZL6,0.01922833917010864,0
CRISPR.UMUC3,CRISPhieRmix,CRYGB,0.36655894285450746,0
CRISPR.UMUC3,CRISPhieRmix,MRGPRD,0.0559693138562901,0
CRISPR.UMUC3,CRISPhieRmix,IL1F10,0.13955395405776536,0
CRISPR.UMUC3,CRISPhieRmix,OTUD6A,0.3220160445901449,0
CRISPR.UMUC3,CRISPhieRmix,KRT25,0.07354231792519393,0
CRISPR.UMUC3,CRISPhieRmix,PIWIL3,0.12384723732730174,0
CRISPR.UMUC3,CRISPhieRmix,TPH2,0.09087909551740535,0
CRISPR.UMUC3,CRISPhieRmix,RNASE9,0.37476053956021116,0
CRISPR.UMUC3,CRISPhieRmix,NPSR1,0.4462078161647658,0
CRISPR.UMUC3,CRISPhieRmix,DMRTB1,0.33142972082174954,0
CRISPR.UMUC3,CRISPhieRmix,RPTN,0.03770188892806166,0
CRISPR.UMUC3,CRISPhieRmix,HTR3D,0.39810699797324467,0
CRISPR.UMUC3,CRISPhieRmix,DMRTC2,0.29206652594803706,0
CRISPR.UMUC3,CRISPhieRmix,OLIG2,0.433285369282958,0
CRISPR.UMUC3,CRISPhieRmix,IL22,0.16938940842671016,0
CRISPR.UMUC3,CRISPhieRmix,OR9Q2,0.18353673084105718,0
CRISPR.UMUC3,CRISPhieRmix,RXFP2,0.4815887151282049,0
CRISPR.UMUC3,CRISPhieRmix,LUZP4,0.4265903659395584,0
CRISPR.UMUC3,CRISPhieRmix,KRT74,0.2104404528176872,0
CRISPR.UMUC3,CRISPhieRmix,OC90,0.31232584323969415,0
CRISPR.UMUC3,CRISPhieRmix,NPHS2,0.3581331815690089,0
CRISPR.UMUC3,CRISPhieRmix,FCRL4,0.10756005563306006,0
CRISPR.UMUC3,CRISPhieRmix,LHX5,0.25928259879287024,0
CRISPR.UMUC3,CRISPhieRmix,FAM71B,0.2814731476365645,0
CRISPR.UMUC3,CRISPhieRmix,CYP7A1,0.43982210054415527,0
CRISPR.UMUC3,CRISPhieRmix,SAGE1,0.4870382928293539,0
CRISPR.UMUC3,CRISPhieRmix,SPATA16,0.47601898876604315,0
CRISPR.UMUC3,CRISPhieRmix,TAAR8,0.2232484305316243,0
CRISPR.UMUC3,CRISPhieRmix,CABP5,0.38274671490012224,0
CRISPR.UMUC3,CRISPhieRmix,ADH7,0.1547395832982135,0
CRISPR.UMUC3,CRISPhieRmix,TGM6,0.49250322899526117,0
CRISPR.UMUC3,CRISPhieRmix,TRIM42,0.4054965321943382,0
CRISPR.UMUC3,CRISPhieRmix,KRT9,0.19720964977599806,0
CRISPR.UMUC3,CRISPhieRmix,TAS2R13,0.3405787576095699,0
CRISPR.UMUC3,CRISPhieRmix,NLRP5,0.3494769246316405,0
CRISPR.UMUC3,CRISPhieRmix,MAGEB3,0.3023464361509974,0
CRISPR.UMUC3,CRISPhieRmix,VN1R2,0.3905256332722903,0
CRISPR.UMUC3,CRISPhieRmix,ABCG8,0.45244694574178995,0
CRISPR.UMUC3,CRISPhieRmix,OR12D2,0.47032416839079866,0
CRISPR.UMUC3,CRISPhieRmix,POU4F2,0.2356483578856131,0
CRISPR.UMUC3,CRISPhieRmix,DEFB129,0.46450007906085367,0
CRISPR.UMUC3,CRISPhieRmix,KRT77,0.27055111990252084,0
CRISPR.UMUC3,CRISPhieRmix,PLA2G2E,0.24765430215899814,0
CRISPR.UMUC3,CRISPhieRmix,TAAR1,0.41270242368979104,0
CRISPR.UMUC3,CRISPhieRmix,TAS2R9,0.4197309156473245,0
CRISPR.UMUC3,CRISPhieRmix,OR52E8,0.4585426784738156,0
CRISPR.UMUC3,HitSelect,PSMB2,0.01075269,1
CRISPR.UMUC3,HitSelect,RPL11,0.01075269,1
CRISPR.UMUC3,HitSelect,NUP93,0.01075269,1
CRISPR.UMUC3,HitSelect,COPB1,0.01075269,1
CRISPR.UMUC3,HitSelect,PSMD7,0.01075269,1
CRISPR.UMUC3,HitSelect,RPS19,0.01075269,1
CRISPR.UMUC3,HitSelect,RPS9,0.01075269,1
CRISPR.UMUC3,HitSelect,COPA,0.01075269,1
CRISPR.UMUC3,HitSelect,RPL36,0.01075269,1
CRISPR.UMUC3,HitSelect,RPL9,0.01075269,1
CRISPR.UMUC3,HitSelect,RPS13,0.01075269,1
CRISPR.UMUC3,HitSelect,RPS8,0.01075269,1
CRISPR.UMUC3,HitSelect,RPL35A,0.01075269,1
CRISPR.UMUC3,HitSelect,POLR2D,0.01075269,1
CRISPR.UMUC3,HitSelect,PSMD11,0.01075269,1
CRISPR.UMUC3,HitSelect,PSMD6,0.01075269,1
CRISPR.UMUC3,HitSelect,COPS4,0.01075269,1
CRISPR.UMUC3,HitSelect,RPL18A,0.01075269,1
CRISPR.UMUC3,HitSelect,POLR2A,0.01075269,1
CRISPR.UMUC3,HitSelect,PSMA3,0.01075269,1
CRISPR.UMUC3,HitSelect,RPL34,0.05075269,1
CRISPR.UMUC3,HitSelect,COPZ1,0.05075269,1
CRISPR.UMUC3,HitSelect,PSMB3,0.05075269,1
CRISPR.UMUC3,HitSelect,PSMC1,0.05075269,1
CRISPR.UMUC3,HitSelect,RPL5,0.05075269,1
CRISPR.UMUC3,HitSelect,RPS11,0.07741935,1
CRISPR.UMUC3,HitSelect,PSMC4,0.07741935,1
CRISPR.UMUC3,HitSelect,RPL30,0.07741935,1
CRISPR.UMUC3,HitSelect,PSMC2,0.07741935,1
CRISPR.UMUC3,HitSelect,POLA1,0.07741935,1
CRISPR.UMUC3,HitSelect,COPS2,0.1045027,1
CRISPR.UMUC3,HitSelect,NUP205,0.1045027,1
CRISPR.UMUC3,HitSelect,NUP133,0.1283997,1
CRISPR.UMUC3,HitSelect,NUP54,0.1283997,1
CRISPR.UMUC3,HitSelect,COPS8,0.1536098,1
CRISPR.UMUC3,HitSelect,RPL27,0.1629266,1
CRISPR.UMUC3,HitSelect,POLR2F,0.1629266,1
CRISPR.UMUC3,HitSelect,PSMD1,0.1629266,1
CRISPR.UMUC3,HitSelect,NUP98,0.1629266,1
CRISPR.UMUC3,HitSelect,RPL3,0.1629266,1
CRISPR.UMUC3,HitSelect,COPS6,0.1629266,1
CRISPR.UMUC3,HitSelect,RPS3A,0.1629266,1
CRISPR.UMUC3,HitSelect,RPS24,0.1629266,1
CRISPR.UMUC3,HitSelect,RPL6,0.1629266,1
CRISPR.UMUC3,HitSelect,RPS7,0.1629266,1
CRISPR.UMUC3,HitSelect,RPS27,0.1629266,1
CRISPR.UMUC3,HitSelect,LYZL6,0.1809655,0
CRISPR.UMUC3,HitSelect,MRGPRD,0.1982527,0
CRISPR.UMUC3,HitSelect,KRT25,0.2148343,0
CRISPR.UMUC3,HitSelect,TPH2,0.2507527,0
CRISPR.UMUC3,HitSelect,FCRL4,0.2656546,0
CRISPR.UMUC3,HitSelect,PIWIL3,0.2992142,0
CRISPR.UMUC3,HitSelect,RPTN,0.3126395,0
CRISPR.UMUC3,HitSelect,RNASE9,0.344086,0
CRISPR.UMUC3,HitSelect,IL1F10,0.3562072,0
CRISPR.UMUC3,HitSelect,KRT9,0.3857527,0
CRISPR.UMUC3,HitSelect,ADH7,0.4142615,0
CRISPR.UMUC3,HitSelect,OR9Q2,0.4417872,0
CRISPR.UMUC3,HitSelect,DMRTC2,0.4514307,0
CRISPR.UMUC3,HitSelect,FAM71B,0.4774194,0
