Gene	sgRNA	eff
KRT77	KRT77-9	1
KRT77	KRT77-10	1
KRT77	KRT77-6	1
KRT77	KRT77-7	1
PLA2G2E	PLA2G2E-9	1
PLA2G2E	PLA2G2E-6	1
PLA2G2E	PLA2G2E-5	1
PLA2G2E	PLA2G2E-10	1
PLA2G2E	PLA2G2E-1	1
PLA2G2E	PLA2G2E-2	1
PLA2G2E	PLA2G2E-3	1
PLA2G2E	PLA2G2E-4	1
PLA2G2E	PLA2G2E-7	1
PLA2G2E	PLA2G2E-8	1
TAAR1	TAAR1-3	1
TAAR1	TAAR1-10	1
TAAR1	TAAR1-1	1
TAAR1	TAAR1-4	1
TAAR1	TAAR1-2	1
TAAR1	TAAR1-5	1
TAAR1	TAAR1-6	1
TAAR1	TAAR1-7	1
TAAR1	TAAR1-8	1
TAAR1	TAAR1-9	1
TAS2R9	TAS2R9-2	1
TAS2R9	TAS2R9-8	1
TAS2R9	TAS2R9-1	1
TAS2R9	TAS2R9-10	1
TAS2R9	TAS2R9-3	1
TAS2R9	TAS2R9-4	1
TAS2R9	TAS2R9-5	1
TAS2R9	TAS2R9-6	1
TAS2R9	TAS2R9-7	1
TAS2R9	TAS2R9-9	1
OR52E8	OR52E8-1	1
OR52E8	OR52E8-10	1
OR52E8	OR52E8-2	1
OR52E8	OR52E8-3	1
OR52E8	OR52E8-4	1
OR52E8	OR52E8-5	1
OR52E8	OR52E8-6	1
OR52E8	OR52E8-7	1
OR52E8	OR52E8-8	1
OR52E8	OR52E8-9	1
