gene,sgRNA,B1,B2,B3,A1,A2,A3
OC90,TRCN0000054164,4182,4614,5423,13967,15956,15654
CABP5,TRCN0000056335,12509,13987,19533,45616,50174,50930
HTR3D,TRCN0000060916,4349,3789,2562,10375,9418,8915
OR9Q2,TRCN0000063067,1275,1324,1611,3617,3626,3448
COPA,TRCN0000065270,1118,1159,1215,3791,3809,3565
MRGPRD,TRCN0000077973,2565,2336,2546,7368,7142,6424
MAGEB3,TRCN0000115827,3227,3675,4755,8878,10317,11098
MAGEB3,TRCN0000115829,3590,3867,5380,9710,12084,12098
KRT77,TRCN0000116782,4853,5339,7175,18014,20378,21359
KRT9,TRCN0000117135,1689,1519,1436,4181,3801,3369
RPL27,TRCN0000117775,1634,1790,2376,4710,4862,4788
OTUD6A,TRCN0000134304,2017,2053,2060,5271,5731,4454
DEFB129,TRCN0000135207,9033,9490,13012,29576,31822,31674
PSMD6,TRCN0000142913,1383,1612,2303,4125,4320,4183
NLRP5,TRCN0000151618,4418,4494,5521,11466,13558,11242
LYZL6,TRCN0000151829,2986,3680,4387,9711,10141,10336
NLRP5,TRCN0000155025,2364,2395,2713,10158,11492,10306
