sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
TRCN0000115830,MAGEB3,1812.6/1890.2/1985.4,3684.3/4055/4313.7,1894.8,4009.3,1.0809,7496.3,6541e3,0.82678,0.73504,0.26496,0.52992,0.69433,True
TRCN0000021834,POLR2F,12.222/4.3268/2.6437,0/4.8915/0,5.2094,0.26819,-2.2917,28.273,36.149,0.82182,0.015444,0.98456,0.030888,0.11414,False
TRCN0000056295,TGM6,124.67/97.662/53.403,190.88/205.44/129.57,86.64,171.92,0.98043,1336.2,10787,0.82108,0.74208,0.25792,0.51584,0.68155,True
TRCN0000060917,HTR3D,1894.5/2266/2622,4452.8/4585/5174,2241.1,4727.1,1.0764,132930,9273400,0.81637,0.73067,0.26933,0.53866,0.69904,True
TRCN0000074780,RPS8,28.723/10.508/4.2299,3.2911/0/1.7275,10.88,0.75258,-2.761,181.36,153.98,0.81616,0.020883,0.97912,0.041765,0.13346,False
TRCN0000118891,NPHS2,1629.9/1680/1836.8,3697.5/3486/3579.5,1713.4,3586.6,1.0654,11666,5306100,0.81322,0.73034,0.26966,0.53933,0.69904,True
TRCN0000058442,IL1F10,2434.1/2689.4/3070.9,5155.5/5798/6341.8,2719.1,5744.5,1.0788,102950,13861e3,0.81261,0.72867,0.27133,0.54266,0.69904,True
TRCN0000019572,POU4F2,70.89/48.213/13.219,121.77/45.654/58.736,35.647,68.869,0.93096,951.51,1723.6,0.80022,0.73682,0.26318,0.52637,0.69159,True
TRCN0000009300,OR12D2,661.24/1048.3/1147.9,1666.9/2080.5/1959,926.66,1894,1.0305,67099,1478600,0.79552,0.72566,0.27434,0.54867,0.69904,True
TRCN0000074916,RPS19,328.17/325.13/211.5,16.455/1.6305/0,282.59,1.3203,-6.9334,4470.8,125330,0.79451,0.0013756,0.99862,0.0027513,0.020656,False
TRCN0000064261,CYP7A1,1963.5/2058.3/2139.8,4179.7/4185.5/4410.4,2052.6,4257.2,1.0521,7785.5,7725200,0.79317,0.72225,0.27775,0.5555,0.69904,True
TRCN0000005062,LHX5,315.34/267.02/176.07,543.03/516.87/411.15,245.67,486.86,0.9839,5077,93703,0.78793,0.72699,0.27301,0.54601,0.69904,True
TRCN0000115753,SAGE1,6963.1/7733.2/8671.4,14805/16745/18010,7758,16466,1.0857,733320,12263e4,0.7864,0.71536,0.28464,0.56927,0.70859,True
TRCN0000074994,RPL5,457.12/446.9/373.82,4.9366/1.6305/0,424.26,0.85522,-7.8406,2068.2,291520,0.78419,5.9228e-4,0.99941,0.0011846,0.010376,False
TRCN0000074981,RPS11,365.45/355.41/416.65,11.519/14.674/0,378.25,2.4796,-6.7681,1079.8,229660,0.78411,0.0019296,0.99807,0.0038593,0.027815,False
TRCN0000118343,COPS4,425.95/375.19/280.23,31.265/0/17.275,355.12,3.6913,-6.2462,5514.1,201450,0.783,0.003064,0.99694,0.0061279,0.039705,False
TRCN0000003882,PSMA3,295.78/249.72/131.66,9.8732/4.8915/6.9101,213.45,6.9404,-4.7553,7392.1,69985,0.78063,0.0096668,0.99033,0.019334,0.084674,False
TRCN0000074765,RPS7,518.84/565.57/694.77,4.9366/8.1525/0,588.56,1.5078,-7.877,8334.3,575560,0.7738,7.5193e-4,0.99925,0.0015039,0.012933,False
TRCN0000058953,IL22,622.73/660.76/657.75,1232.5/1384.3/1268,646.85,1293.3,0.99848,447.01,700390,0.77249,0.71814,0.28186,0.56372,0.70354,True
TRCN0000074712,RPS3A,575.68/584.12/777.78,0/3.261/3.4551,639.51,0.96114,-8.3514,13131,683960,0.7721,4.4082e-4,0.99956,8.8164e-4,0.0080195,False
TRCN0000117507,RPL3,351.4/430.21/459.48,24.683/6.522/3.4551,411.07,8.256,-5.4764,3135.2,273e3,0.77094,0.0059347,0.99407,0.011869,0.065282,False
TRCN0000051556,PLA2G2E,2170.7/2194.3/2177.9,4423.2/4487.1/4474.3,2180.9,4461.5,1.0322,146.24,8763200,0.77037,0.71335,0.28665,0.57331,0.71174,True
TRCN0000077925,RPL34,615.4/697.85/642.95,0/26.088/3.4551,651.18,2.0037,-7.7624,1763,710160,0.77034,9.0287e-4,0.9991,0.0018057,0.014726,False
TRCN0000117565,RPL9,636.18/679.31/823.25,0/1.6305/0,708.59,0.15866,-9.2584,9624,846490,0.76999,6.5618e-5,0.99993,1.3124e-4,0.0019398,False
TRCN0000074794,RPS9,919.13/611.31/210.97,9.8732/3.261/17.275,491.25,8.2511,-5.7336,138030,395350,0.76817,0.0049546,0.99505,0.0099092,0.055142,False
TRCN0000144181,FAM71B,1805.9/1950.8/2019.3,3993.7/3950.7/3779.8,1923.2,3907,1.0222,11877,6747e3,0.76372,0.7112,0.2888,0.57761,0.71185,True
TRCN0000003906,PSMB2,628.85/581.03/740.77,8.2277/22.827/5.1826,646.86,9.9286,-5.8895,6738.6,700400,0.76106,0.0045203,0.99548,0.0090406,0.052085,False
TRCN0000077927,RPL34,677.74/840.02/1116.7,6.5821/11.413/6.9101,859.86,8.0398,-6.5733,49765,1265600,0.75718,0.002745,0.99726,0.00549,0.036409,False
TRCN0000117564,RPL9,832.35/1018/1129.9,0/22.827/31.096,985.61,4.0509,-7.6098,22683,1680800,0.7571,0.001204,0.9988,0.0024079,0.018671,False
TRCN0000117560,RPS3A,798.74/957.46/1000.4,32.911/1.6305/34.551,914.6,12.456,-6.0884,11309,1438900,0.75208,0.0040019,0.996,0.0080038,0.047334,False
TRCN0000077926,RPL34,597.68/644.69/724.9,29.62/16.305/13.82,653.68,18.833,-5.0448,4144.9,715850,0.75034,0.0085181,0.99148,0.017036,0.081395,False
TRCN0000003904,PSMB2,983.91/1004.4/1129.9,24.683/8.1525/8.6377,1037.5,12.035,-6.3159,6253.7,1869900,0.74989,0.0034045,0.9966,0.006809,0.042377,False
TRCN0000117674,RPL36,554.9/524.78/480.63,32.911/11.413/22.458,519.2,20.367,-4.6056,1396.8,443520,0.74902,0.011647,0.98835,0.023294,0.092587,False
TRCN0000074913,RPS19,485.84/426.5/462.12,36.202/6.522/36.278,457.5,20.502,-4.4143,892.91,340990,0.74835,0.013336,0.98666,0.026671,0.10174,False
TRCN0000007174,RPS13,1081.1/1254.8/1464.6,6.5821/11.413/6.9101,1257.1,8.0398,-7.1208,37025,2787500,0.74815,0.0018721,0.99813,0.0037442,0.027672,False
TRCN0000058107,PSMD1,1225.3/1303/1588.3,1.6455/22.827/19.003,1363.7,9.0437,-7.0861,36653,3301100,0.74557,0.0019406,0.99806,0.0038812,0.027815,False
TRCN0000117673,RPL36,701.57/614.4/513.41,19.746/21.196/29.368,604.87,23.08,-4.6531,8903.5,609220,0.74539,0.011317,0.98868,0.022634,0.090726,False
TRCN0000117774,RPL27,765.13/840.63/1003.6,6.5821/21.196/72.556,864.22,21.685,-5.2532,14894,1279e3,0.745,0.0074,0.9926,0.0148,0.074076,False
TRCN0000148626,CRYGB,622.12/633.57/712.74,1392.1/1203.3/1262.8,654.94,1283.7,0.96981,2437.5,718710,0.74167,0.70627,0.29373,0.58747,0.71617,True
TRCN0000007173,RPS13,532.29/538.38/641.89,14.81/35.871/34.551,568.72,26.388,-4.3787,3801.1,535980,0.74079,0.013799,0.9862,0.027598,0.10443,False
TRCN0000117776,RPL27,1267.5/1107.7/850.22,26.329/37.501/15.548,1060.8,24.86,-5.3596,44628,1958300,0.74026,0.0069002,0.9931,0.0138,0.072529,False
TRCN0000117509,RPL3,339.78/331.93/268.07,42.784/34.24/6.9101,311.53,21.674,-3.7849,1551.5,153460,0.73991,0.020895,0.9791,0.04179,0.13346,False
TRCN0000155168,COPB1,1214.3/1261.6/1207.1,55.948/22.827/13.82,1227.4,26.053,-5.5049,875.2,2652300,0.73768,0.0062401999999999996,0.99376,0.01248,0.066329,False
TRCN0000003907,PSMB2,1189.2/1203.5/1416,16.455/30.979/34.551,1265.5,26.024,-5.5504,16152,2826100,0.73729,0.0060437,0.99396,0.012087,0.065586,False
TRCN0000074993,RPL5,861.68/919.75/997.74,83.922/52.176/6.9101,924.72,31.243,-4.8435,4664.7,1472200,0.73639,0.009985,0.99002,0.01997,0.0856,False
TRCN0000151585,COPB1,1225.9/1340.1/1452.5,49.366/30.979/25.913,1336.3,34.097,-5.2518,12846,3164800,0.73198,0.0075069,0.99249,0.015014,0.074076,False
TRCN0000074709,RPS3A,641.68/683.01/794.17,24.683/44.023/46.643,703.43,37.012,-4.2119,6231.8,833740,0.72985,0.015658,0.98434,0.031317,0.11428,False
TRCN0000074782,RPS8,1232.6/1244.3/1567.2,62.53/16.305/70.829,1339.5,41.67,-4.9735,36165,3180900,0.72771,0.0091657,0.99083,0.018331,0.083682,False
TRCN0000117714,RPL11,1345.7/1426/1756.5,69.112/14.674/63.919,1499.3,40.203,-5.1864,47554,4020700,0.72769,0.0078855,0.99211,0.015771,0.076119,False
TRCN0000003911,PSMB3,467.51/438.86/251.68,31.265/24.457/32.823,372.39,29.279,-3.6243,14018,222330,0.72767,0.023658,0.97634,0.047317,0.14533,False
TRCN0000007171,RPS13,2085.8/2337.7/2414.2,24.683/47.284/25.913,2274.8,31.16,-6.145,29566,9565700,0.72543,0.0040028,0.996,0.0080057,0.047334,False
TRCN0000004997,RPL6,1500.3/1320.9/1134.7,65.821/32.61/48.371,1310.1,47.004,-4.7715,33534,3037300,0.72476,0.010587,0.98941,0.021174,0.0856,False
TRCN0000003883,PSMA3,1375.6/1414.2/1574.1,32.911/40.762/91.559,1452.2,49.718,-4.8406,11077,3762100,0.72305,0.010091,0.98991,0.020183,0.0856,False
TRCN0000021368,POLR2D,1418.4/1320.3/1485.8,31.265/52.176/77.739,1406.5,50.248,-4.7795,6928.5,3520400,0.72285,0.010537,0.98946,0.021073,0.0856,False
TRCN0000117713,RPL11,1786.3/1852.5/1721.1,26.329/88.047/46.643,1785.8,47.653,-5.1987,4319.6,5783300,0.72277,0.0078381,0.99216,0.015676,0.076119,False
TRCN0000059961,NUP93,1298/1490.9/1637.5,51.011/57.067/44.916,1468.8,50.756,-4.8278,29057,3852400,0.72249,0.010185,0.98981,0.020371,0.0856,False
TRCN0000004998,RPL6,514.57/535.29/311.43,54.303/26.088/31.096,441.03,35.322,-3.6052,15544,315970,0.72175,0.024088,0.97591,0.048175,0.14541,False
TRCN0000052954,POLA1,641.68/649.02/812.15,49.366/27.718/65.646,696.74,44.792,-3.9295,9313.9,817340,0.72112,0.019197,0.9808,0.038394,0.1267,False
TRCN0000074797,RPS9,771.85/874.63/1010.4,57.594/70.111/31.096,880.28,50.081,-4.1087,14363,1328900,0.72017,0.016929,0.98307,0.033858,0.1169,False
TRCN0000077976,MRGPRD,1378.1/1444.5/1420.7,2682.2/2804.5/2829.7,1414.2,2771.4,0.97013,1133.5,3560400,0.71927,0.6948,0.3052,0.61041,0.74032,True
TRCN0000117508,RPL3,1929.9/2143/2138.8,74.049/39.132/79.467,2068.1,61.299,-5.0537,14847,7846900,0.7164,0.0087043,0.9913,0.017409,0.081527,False
TRCN0000117715,RPL11,2149.9/2437.8/2600.9,41.138/65.22/81.194,2388.8,60.175,-5.2878,52220,10589e3,0.71559,0.0073811,0.99262,0.014762,0.074076,False
TRCN0000118346,COPS4,1197.2/1312.3/1612.1,115.19/104.35/24.185,1363.1,66.277,-4.3417,46064,3298300,0.71407,0.014394,0.98561,0.028788,0.10807,False
TRCN0000052040,PSMC4,1152.6/1199.1/1318.2,88.859/73.372/41.461,1221.3,64.664,-4.2184,7296.9,2625e3,0.71391,0.015704,0.9843,0.031408,0.11428,False
TRCN0000065002,COPZ1,868.41/898.74/1216.1,42.784/73.372/69.101,982.75,60.088,-4.0093,37294,1670700,0.71382,0.018203,0.9818,0.036406,0.12141,False
TRCN0000021285,POLR2A,1467.9/1610.2/1630.6,60.885/89.677/62.191,1567.9,69.767,-4.4705,7860.3,4412200,0.71321,0.013146,0.98685,0.026291,0.1011,False
TRCN0000074978,RPS11,1504/1705.4/1941,90.504/94.569/43.188,1707.5,71.775,-4.5532,47977,5268500,0.71264,0.012402,0.9876,0.024805,0.096964,False
TRCN0000117136,KRT9,1307.8/1334.5/1446.1,2678.9/2574.6/2710.5,1361.5,2654,0.96245,5385.2,3290300,0.71255,0.69225,0.30775,0.6155,0.74301,True
TRCN0000046913,NUP98,947.85/1092.2/1306.5,39.493/50.545/148.57,1105.9,66.702,-4.0312,32707,2135500,0.71114,0.017938,0.98206,0.035876,0.12141,False
TRCN0000074778,RPS8,1975.8/2193.1/2327.5,75.694/127.18/46.643,2160.5,76.584,-4.8001,31542,8593600,0.71089,0.010423,0.98958,0.020845,0.0856,False
TRCN0000117570,RPL30,706.46/861.03/791.53,54.303/120.66/29.368,783.77,57.749,-3.7396,6003.2,1043900,0.71059,0.022044,0.97796,0.044089,0.13903,False
TRCN0000021365,POLR2D,2330.8/2397.7/2341.3,144.81/92.938/34.551,2356.4,77.493,-4.9085,1292.7,10293e3,0.71033,0.0096568,0.99034,0.019314,0.084674,False
TRCN0000074711,RPS3A,631.9/621.82/758.74,31.265/52.176/95.014,668.04,53.727,-3.6118,5834.7,748920,0.70986,0.024132,0.97587,0.048264,0.14541,False
TRCN0000117772,RPL27,2267.3/2387.8/2869.5,75.694/159.79/58.736,2495.2,89.237,-4.7898,101790,11593e3,0.70661,0.010505,0.98949,0.021011,0.0856,False
TRCN0000117676,RPL36,2778.2/2889.7/3311,106.96/58.698/143.39,2984.4,96.564,-4.9354,79080,16822e3,0.7041,0.0094829,0.99052,0.018966,0.084631,False
TRCN0000117549,RPS24,726.63/692.9/774.61,85.568/53.806/51.826,730.61,62.027,-3.537,1686.6,902110,0.70393,0.025492,0.97451,0.050984,0.14795,False
TRCN0000074997,RPL5,733.96/717.01/782.54,100.38/84.786/31.096,743.99,64.218,-3.5139,1157.2,936780,0.70234,0.025925,0.97407,0.051851,0.14955,False
TRCN0000005001,RPL6,905.07/801.69/719.62,133.29/71.742/32.823,805.25,67.977,-3.547,8655.2,1104200,0.70161,0.025328,0.97467,0.050657,0.14791,False
TRCN0000074996,RPL5,927.07/963.64/1144.2,90.504/96.199/53.554,1007.3,77.547,-3.6823,13541,1758800,0.7011,0.023015,0.97698,0.04603,0.1423,False
TRCN0000074795,RPS9,825.63/859.18/921.07,110.25/81.525/41.461,867.73,71.971,-3.5735,2345.3,1289800,0.70068,0.024863,0.97514,0.049726,0.14687,False
TRCN0000117659,RPL35A,1003.5/1139.2/1173.8,67.467/75.003/110.56,1103,82.402,-3.7265,8115.2,2123700,0.70032,0.022308,0.97769,0.044616,0.13976,False
TRCN0000059958,NUP93,760.85/734.94/751.34,97.086/50.545/62.191,748.97,67.331,-3.4562,171.84,949850,0.6994,0.027027,0.97297,0.054055,0.15161,False
TRCN0000014006,TAAR1,2546.6/2878.6/3021.8,5094.6/5393.7/6029.1,2808.4,5492.2,0.96738,59503,14825e3,0.69703,0.68337,0.31663,0.63326,0.75259,True
TRCN0000142957,PSMD6,1714.8/1868.6/1915.1,121.77/75.003/152.02,1830.8,111.56,-4.0244,10993,6090300,0.69665,0.018062,0.98194,0.036123,0.12141,False
TRCN0000150729,PIWIL3,1768.6/1846.9/2027.7,3253.2/3981.7/3721.1,1878,3639.3,0.95409,17677,6421300,0.69506,0.68403,0.31597,0.63193,0.75259,True
TRCN0000072558,COPS6,1156.2/1155.3/1071.8,108.61/61.959/117.47,1127,92.466,-3.5932,2352.4,2221200,0.69417,0.024543,0.97546,0.049086,0.14687,False
TRCN0000065272,COPA,1543.7/1618.2/1544.5,102.02/120.66/110.56,1568.4,110.82,-3.811,1832.8,4415300,0.69367,0.021021,0.97898,0.042043,0.13346,False
TRCN0000063029,FCRL4,2360.8/2611.5/2936.1,4768.8/5276.3/5317.3,2625.7,5114.6,0.96166,83370,1289e4,0.69325,0.68207,0.31793,0.63585,0.75378,True
TRCN0000003880,PSMA3,596.46/628.62/582.14,80.631/29.349/112.29,602.1,64.309,-3.207,566.72,603420,0.69231,0.032311,0.96769,0.064621,0.16981,False
TRCN0000144555,PSMD6,2163.4/2371.7/2843.6,69.112/154.9/243.58,2443.5,137.66,-4.14,121840,111e5,0.69211,0.01664,0.98336,0.03328,0.1169,False
TRCN0000058106,PSMD1,4159.9/4709.4/5598.8,162.91/115.77/190.03,4786.8,153.03,-4.9581,529190,4493e4,0.6913,0.0093324,0.99067,0.018665,0.08408,False
TRCN0000155615,LYZL6,737.63/658.91/507.06,1189.7/1126.7/1245.6,626.96,1186.3,0.91896,13821,656370,0.69042,0.68614,0.31386,0.62772,0.75259,True
TRCN0000060023,NUP205,732.13/674.36/856.03,82.277/135.33/39.733,750.45,76.211,-3.2828,8636.4,953770,0.69039,0.030631,0.96937,0.061261,0.16847,False
TRCN0000117712,RPL11,7743.5/8063.3/9242.9,120.12/146.74/91.559,8325.7,117.3,-6.1372,624540,14202e4,0.68878,0.0040747,0.99593,0.0081494,0.047589,False
TRCN0000074979,RPS11,715.63/768.93/846.52,34.556/101.09/150.3,775.18,80.695,-3.2481,4337.2,1020300,0.68756,0.031413,0.96859,0.062826,0.16974,False
TRCN0000144112,NUP133,1247.9/1518.1/1664.5,141.52/120.66/107.11,1466.4,122.29,-3.5731,44821,3839200,0.68598,0.024908,0.97509,0.049816,0.14687,False
TRCN0000003946,PSMD11,3055/3405.8/4073.4,125.06/226.64/233.22,3486.6,187.68,-4.2082,268590,23244e3,0.68424,0.015843,0.98416,0.031686,0.11441,False
TRCN0000058066,PSMD7,2473.2/2637.5/2836.2,195.82/150.01/174.48,2644.8,172.41,-3.9314,33058,13086e3,0.68347,0.019287,0.98071,0.038574,0.1267,False
TRCN0000151483,COPB1,1313.3/1314.1/1561.4,134.93/96.199/145.11,1391.6,123.5,-3.4835,20480,3443e3,0.68339,0.026556,0.97344,0.053112,0.15117,False
TRCN0000060024,NUP205,502.95/497.58/544.6,75.694/104.35/32.823,514.63,63.778,-2.9927,662.71,435450,0.68322,0.037711,0.96229,0.075423,0.18581,False
TRCN0000150921,COPB1,1020/995.78/815.85,75.694/89.677/141.66,939.26,98.706,-3.2373,12469,1520700,0.68163,0.031677,0.96832,0.063354,0.16974,False
TRCN0000143014,NUP133,1253.4/1481/1587.8,92.15/161.42/146.84,1433.8,129.75,-3.4559,29243,3663800,0.68128,0.027084,0.97292,0.054169,0.15161,False
TRCN0000010829,PSMB3,222.45/161.95/80.897,39.493/19.566/19.003,142.85,24.493,-2.4964,5269.4,30409,0.67871,0.053316,0.94668,0.10663,0.23137,False
TRCN0000059959,NUP93,3664.9/3890.4/4727.5,217.21/247.84/236.67,4069.7,233.56,-4.1173,314340,32061e3,0.6775,0.016884,0.98312,0.033767,0.1169,False
TRCN0000058063,PSMD7,676.51/730.61/700.58,77.34/125.55/65.646,702.22,86.065,-3.0138,734.73,830760,0.67601,0.0372,0.9628,0.074399,0.18539,False
TRCN0000117614,RPL18A,867.18/972.91/1097.7,64.176/153.27/133.02,974.73,109.38,-3.144,13341,1642500,0.67521,0.033882,0.96612,0.067763,0.17325,False
TRCN0000056673,TPH2,2941.9/3144.3/3799,108.61/309.79/340.32,3275.5,225.41,-3.8552,201260,20414e3,0.67507,0.020342,0.97966,0.040684,0.13241,False
TRCN0000021286,POLR2A,911.18/1129.9/1120.4,194.17/78.264/101.92,1048.8,115.71,-3.1691,15323,1912500,0.6747,0.033276,0.96672,0.066553,0.17202,False
TRCN0000003948,PSMD11,903.85/824.56/930.59,106.96/130.44/95.014,885.17,109.85,-2.9989,3042.4,1344300,0.6687,0.037619,0.96238,0.075237,0.18581,False
TRCN0000021366,POLR2D,2289.9/2368.6/2716.1,171.14/211.96/291.95,2451.4,219.61,-3.4747,51516,11175e3,0.66764,0.026687,0.97331,0.053374,0.15117,False
TRCN0000064998,COPZ1,1620.1/1702.3/1465.1,164.55/133.7/221.12,1592.8,169.45,-3.225,14514,4559100,0.6666,0.031947,0.96805,0.063893,0.16974,False
TRCN0000116927,KRT74,2762.3/2929.2/3425.2,5293.7/6238.3/5859.8,3026.2,5784.1,0.93434,119120,17316e3,0.66274,0.66894,0.33106,0.66213,0.77714,True
TRCN0000046914,NUP98,1416.6/1280.1/1437.6,169.49/190.77/134.75,1376.3,163.33,-3.0672,7319.3,3365e3,0.66124,0.035794,0.96421,0.071588,0.18011,False
TRCN0000074779,RPS8,1388.5/1485.9/1680.9,151.39/192.4/190.03,1513.6,176.89,-3.0899,22200,4100900,0.66011,0.035204,0.9648,0.070409,0.17809,False
TRCN0000074914,RPS19,398.45/318.95/248.51,707.58/515.24/530.35,316.09,578.25,0.86928,5679.4,158170,0.65918,0.67597,0.32403,0.64805,0.76632,True
TRCN0000058104,PSMD1,804.85/1080.5/1125.2,1484.3/2012/2131.8,992.77,1853.4,0.89996,30266,1706300,0.65884,0.67155,0.32845,0.6569,0.77292,True
TRCN0000059962,NUP93,532.29/538.38/578.97,110.25/52.176/107.11,549.49,85.099,-2.6767,644.29,499010,0.65741,0.047511,0.95249,0.095021,0.21983,False
TRCN0000053864,RPTN,1057.2/1123.1/1482.1,218.86/221.75/86.377,1207.3,161.25,-2.8967,52549,2562800,0.65344,0.040487,0.95951,0.080973,0.19641,False
TRCN0000050505,PSMC1,1205.1/1464.3/1785,185.95/211.96/165.84,1465.9,186.97,-2.9642,84923,3836500,0.65295,0.03854,0.96146,0.07708,0.18841,False
TRCN0000117716,RPL11,602.57/553.21/307.2,77.34/40.762/150.3,467.85,77.974,-2.5697,25622,357220,0.65232,0.051358,0.94864,0.10272,0.2284,False
TRCN0000145517,PSMD6,1689.8/1769/2316.4,190.88/169.57/404.24,1906,235.65,-3.0105,116980,6622100,0.6491,0.037234,0.96277,0.074468,0.18539,False
TRCN0000021288,POLR2A,4768/5268.2/6090.6,462.39/502.19/468.16,5348.3,477.27,-3.4835,447080,56585e3,0.64755,0.02639,0.97361,0.05278,0.15117,False
TRCN0000072562,COPS6,3194.3/3583.8/4176.5,376.83/282.08/528.63,3629.5,383.02,-3.2409,245340,2527e4,0.64582,0.03145,0.96855,0.062901,0.16974,False
TRCN0000117566,RPL9,694.85/666.33/823.25,88.859/115.77/169.3,725.05,120.32,-2.5813,7002,887890,0.64178,0.05095,0.94905,0.1019,0.2284,False
TRCN0000058064,PSMD7,664.29/748.53/852.33,113.54/167.94/100.2,751.15,124.09,-2.5881,8894.5,955610,0.64146,0.050697,0.9493,0.10139,0.22838,False
TRCN0000065268,COPA,809.13/913.57/1009.9,125.06/99.46/248.76,907.15,145.73,-2.6298,10103,1414600,0.64019,0.049162,0.95084,0.098324,0.22379,False
TRCN0000014253,VN1R2,1846.8/1838.9/1756,3802.8/3202.3/3161.4,1813.4,3376.6,0.8965,2533.2,5970700,0.63974,0.66126,0.33874,0.67749,0.78616,True
TRCN0000117615,RPL18A,1016.9/1214.6/1380.5,292.9/135.33/152.02,1194.7,181.98,-2.7081,33272,2507400,0.63955,0.046405,0.9536,0.09281,0.21731,False
TRCN0000058105,PSMD1,3785.3/3933.7/4945.8,404.8/389.69/621.91,4191.6,461.21,-3.1812,400250,3409e4,0.63891,0.032782,0.96722,0.065564,0.17086,False
TRCN0000019587,DMRTC2,170.5/135.37/66.621,44.429/21.196/19.003,115.43,26.163,-2.0997,2906.4,19547,0.63849,0.071741,0.92826,0.14348,0.28757,False
TRCN0000117568,RPL30,1280.3/1199.1/953.32,174.43/210.33/152.02,1135.4,177.34,-2.6717,29107,2255500,0.63791,0.047653,0.95235,0.095307,0.21983,False
TRCN0000074796,RPS9,687.51/772.64/760.86,174.43/109.24/107.11,739.36,126.85,-2.5338,2128.9,924690,0.63696,0.052747,0.94725,0.10549,0.23101,False
TRCN0000117661,RPL35A,370.95/268.88/183.47,98.732/45.654/34.551,263.53,53.811,-2.2709,8988.7,108400,0.63695,0.063857,0.93614,0.12771,0.26495,False
TRCN0000021367,POLR2D,1334.7/1761/1915.1,204.05/223.38/300.59,1651.1,239.29,-2.7815,90943,4913200,0.63694,0.043939,0.95606,0.087878,0.20993,False
TRCN0000072561,COPS6,1121.4/1307.9/1594.7,281.39/151.64/212.49,1327.4,208.52,-2.6645,57125,3121300,0.63332,0.04787,0.95213,0.09574,0.21983,False
TRCN0000117660,RPL35A,94.113/55.012/29.61,29.62/4.8915/17.275,53.531,13.611,-1.9,1110.7,3985,0.63238,0.081504,0.9185,0.16301,0.3111,False
TRCN0000003910,PSMB3,500.51/487.69/511.29,162.91/102.72/51.826,499.74,95.376,-2.3773,139.62,409680,0.63176,0.059171,0.94083,0.11834,0.24878,False
TRCN0000117548,RPS24,1032.2/1129.9/907.85,181.01/148.38/186.57,1019.2,171.12,-2.5674,12412,1802200,0.63175,0.051426,0.94857,0.10285,0.2284,False
TRCN0000117773,RPL27,839.68/739.88/807.92,169.49/184.25/93.287,794.72,142.82,-2.468,2601.6,1074400,0.62891,0.055338,0.94466,0.11068,0.23904,False
TRCN0000117551,RPS24,1308.4/1237.5/1393.2,166.2/285.34/214.21,1311.5,216.58,-2.5927,6085.8,3044e3,0.62757,0.050432,0.94957,0.10086,0.22827,False
TRCN0000117596,RPS27,1921.4/1916.2/2288.9,302.78/322.84/298.86,2035,307.98,-2.7201,45757,7587700,0.62695,0.04587,0.95413,0.091741,0.21589,False
TRCN0000046916,NUP98,705.85/668.18/773.55,143.16/135.33/129.57,714.55,135.91,-2.3859,2853.4,861360,0.62347,0.058781,0.94122,0.11756,0.24825,False
TRCN0000065271,COPA,830.52/922.22/1073.9,189.24/216.86/124.38,936.94,172.18,-2.4372,15147,1512900,0.62176,0.056563,0.94344,0.11313,0.24154,False
TRCN0000056334,CABP5,1760/1667.1/1381.1,358.73/198.92/276.41,1594.3,270.19,-2.5564,39114,4568100,0.61951,0.051718,0.94828,0.10344,0.22862,False
TRCN0000117613,RPL18A,293.34/268.88/201.98,64.176/57.067/55.281,251.62,58.719,-2.0807,2251.3,98481,0.61469,0.0736,0.9264,0.1472,0.29254,False
TRCN0000074995,RPL5,871.46/857.94/1041.1,144.81/278.81/145.11,919.88,180.28,-2.3448,10437,1456200,0.6129,0.060523,0.93948,0.12105,0.25222,False
TRCN0000118887,NPHS2,6536.6/7135.5/8680.9,13342/14112/14114,7398,13851,0.90471,1228400,11109e4,0.61226,0.64386,0.35614,0.71229,0.81775,True
TRCN0000117510,RPL3,2941.9/3134.5/3028.1,409.74/494.04/592.54,3033.8,493.17,-2.6185,9299.9,17406e3,0.60896,0.049206,0.95079,0.098413,0.22379,False
TRCN0000058440,IL1F10,258.51/179.87/85.656,72.403/52.176/17.275,158.52,40.283,-1.9502,7880.8,37742,0.60863,0.080896,0.9191,0.16179,0.3111,False
TRCN0000052953,POLA1,705.85/767.7/777.78,121.77/239.68/134.75,749.75,157.85,-2.2407,1517.5,951930,0.60667,0.065384,0.93462,0.13077,0.26776,False
TRCN0000050504,PSMC1,328.78/311.53/264.9,90.504/109.24/39.733,300.49,73.249,-2.0217,1094.6,142380,0.60223,0.076989,0.92301,0.15398,0.30347,False
TRCN0000021836,POLR2F,11.611/4.3268/3.1724,6.5821/8.1525/0,5.4359,1.6667,-1.2711,22.245,39.24,0.60171,0.10025,0.89975,0.2005,0.35476,False
TRCN0000007170,RPS13,1713/1518.1/1292.8,292.9/339.14/257.4,1498,294.61,-2.3423,44368,4013400,0.60071,0.060458,0.93954,0.12092,0.25222,False
TRCN0000116054,COPS2,1037.1/1065.6/1133.6,202.4/290.23/195.21,1078,225.5,-2.2521,2460.8,2025100,0.59908,0.064719,0.93528,0.12944,0.26649,False
TRCN0000152865,NLRP5,2982.3/3298.3/3620.8,612.14/639.15/494.07,3290.1,578.21,-2.5064,102100,20604e3,0.59745,0.053317,0.94668,0.10663,0.23137,False
